created_at,amount,count,open,close,low,high,vol
20191119084500,257.162121,2192.000000,8186.230000,8181.830000,8170.390000,8186.230000,2103180.919900
20191119090000,244.403968,2141.000000,8182.240000,8189.170000,8181.780000,8205.000000,2001806.797490
20191119091500,201.090137,1776.000000,8189.170000,8189.040000,8179.820000,8190.440000,1646141.881760
20191119093000,260.886056,2002.000000,8189.040000,8192.980000,8184.540000,8205.000000,2137815.049130
20191119094500,158.371788,1516.000000,8192.980000,8198.010000,8188.690000,8202.180000,1297959.378660
20191119100000,96.472801,1386.000000,8198.010000,8209.530000,8197.980000,8210.000000,791426.390483
20191119101500,148.018648,1135.000000,8209.530000,8196.750000,8195.000000,8210.000000,1214188.724710
20191119103000,190.911248,1138.000000,8196.760000,8195.000000,8193.870000,8204.590000,1565583.310440
20191119104500,135.331466,903.000000,8195.020000,8198.690000,8193.870000,8200.000000,1109575.591320
20191119110000,111.178452,1192.000000,8198.710000,8185.010000,8185.010000,8199.750000,910698.242541
20191119111500,290.460176,2062.000000,8185.010000,8173.000000,8164.740000,8190.000000,2376516.197930
20191119113000,289.142816,2055.000000,8173.000000,8171.110000,8163.240000,8178.230000,2363145.403860
20191119114500,368.627878,3456.000000,8171.110000,8153.460000,8134.310000,8176.140000,3005547.984840
20191119120000,366.367368,2404.000000,8153.430000,8157.250000,8145.210000,8171.420000,2989908.436110
20191119121500,236.791537,1918.000000,8157.240000,8142.540000,8142.540000,8160.000000,1930288.630400
20191119123000,613.359955,3895.000000,8142.540000,8154.190000,8116.000000,8160.600000,4993003.174730
20191119124500,234.351392,1698.000000,8154.190000,8153.460000,8148.000000,8160.000000,1911190.837180
20191119130000,428.626743,2334.000000,8153.410000,8168.980000,8152.890000,8169.000000,3498102.334510
20191119131500,404.429882,2172.000000,8168.970000,8150.530000,8149.650000,8168.970000,3299987.348830
20191119133000,418.940937,2230.000000,8150.530000,8154.200000,8149.790000,8157.240000,3416305.411060
20191119134500,208.465183,2126.000000,8154.450000,8144.000000,8137.150000,8154.870000,1697953.561580
20191119140000,217.201274,1966.000000,8144.000000,8136.430000,8133.000000,8148.160000,1768290.630270
20191119141500,261.504997,2832.000000,8136.240000,8130.620000,8122.000000,8144.040000,2126626.381670
20191119143000,337.541599,2453.000000,8130.610000,8144.000000,8128.680000,8150.340000,2747885.692090
20191119144500,210.177759,2009.000000,8143.750000,8157.000000,8143.750000,8158.920000,1713355.631460
20191119150000,151.882848,1417.000000,8155.630000,8150.500000,8142.540000,8156.740000,1237587.367800
20191119151500,181.083345,1447.000000,8150.520000,8145.900000,8130.400000,8151.260000,1474480.712030
20191119153000,436.305762,2506.000000,8145.560000,8125.930000,8117.440000,8146.320000,3546206.686220
20191119154500,739.402603,5495.000000,8124.510000,8128.220000,8091.540000,8129.870000,5996349.678710
20191119160000,460.089796,3211.000000,8128.210000,8144.990000,8126.170000,8151.010000,3745701.199780
20191119161500,412.065525,2504.000000,8145.000000,8150.900000,8144.990000,8158.000000,3358642.600660
20191119163000,597.641746,2594.000000,8150.990000,8154.640000,8143.380000,8160.000000,4871665.247340
20191119164500,346.759673,2848.000000,8154.650000,8169.420000,8154.650000,8175.000000,2831052.121060
20191119170000,224.384549,1910.000000,8169.460000,8159.760000,8153.470000,8169.500000,1831154.344160
20191119171500,250.003161,1970.000000,8159.690000,8144.000000,8144.000000,8166.690000,2039625.497080
20191119173000,163.942080,2167.000000,8144.940000,8152.100000,8134.850000,8156.060000,1335372.233240
20191119174500,145.840235,1506.000000,8152.080000,8149.070000,8142.130000,8155.080000,1188509.417370
20191119180000,216.594822,1870.000000,8149.250000,8150.920000,8139.700000,8155.790000,1765035.295000
20191119181500,145.437860,1665.000000,8150.920000,8138.990000,8130.430000,8151.590000,1184244.027230
20191119183000,246.425844,2500.000000,8138.970000,8110.770000,8110.010000,8145.060000,2002875.096590
20191119184500,818.797157,5418.000000,8110.770000,8112.720000,8083.000000,8127.680000,6640459.079580
20191119190000,397.885024,4390.000000,8112.980000,8077.020000,8077.000000,8128.380000,3224825.742900
20191119191500,652.784890,6220.000000,8077.450000,8096.130000,8068.000000,8108.230000,5280246.029070
20191119193000,809.866385,8026.000000,8096.130000,8073.240000,8040.780000,8096.760000,6537815.321630
20191119194500,1463.108135,12019.000000,8073.240000,8077.440000,8005.000000,8087.930000,11781516.287600
20191119200000,646.983413,7137.000000,8075.770000,8106.930000,8073.000000,8117.300000,5240594.743540
20191119201500,962.739531,5106.000000,8108.450000,8074.510000,8060.000000,8117.350000,7797130.447090
20191119203000,233.372516,2713.000000,8073.880000,8073.010000,8063.190000,8088.450000,1885333.620810
20191119204500,438.958971,4879.000000,8073.010000,8042.500000,8023.980000,8081.460000,3533839.653710
20191119210000,653.311430,5494.000000,8042.500000,8059.190000,8018.150000,8064.110000,5253760.980070
20191119211500,374.444234,3871.000000,8058.120000,8036.260000,8026.330000,8070.000000,3011595.640280
20191119213000,284.200120,3520.000000,8036.280000,8052.980000,8030.000000,8057.140000,2286186.027470
20191119214500,401.075069,2991.000000,8052.990000,8056.220000,8050.710000,8070.000000,3232976.663340
20191119220000,456.642118,3876.000000,8055.760000,8093.370000,8055.750000,8095.780000,3689639.269820
20191119221500,429.406700,3877.000000,8093.370000,8092.140000,8080.000000,8111.590000,3476158.124620
20191119223000,474.362962,3726.000000,8092.140000,8113.680000,8092.140000,8123.290000,3847336.971800
20191119224500,407.260617,3122.000000,8113.140000,8096.350000,8081.010000,8113.140000,3296273.589460
20191119230000,456.705655,3292.000000,8096.350000,8085.270000,8069.990000,8097.510000,3691348.252490
20191119231500,353.923611,2752.000000,8085.240000,8109.990000,8080.010000,8110.000000,2863189.725240
20191119233000,265.487902,2659.000000,8107.470000,8097.480000,8093.320000,8110.000000,2150781.170380
20191119234500,215.333298,2585.000000,8096.990000,8099.700000,8095.950000,8109.990000,1744847.578310
20191120000000,794.860731,5659.000000,8099.710000,8138.960000,8098.860000,8160.000000,6468822.162690
20191120001500,312.374744,3328.000000,8138.970000,8123.790000,8119.990000,8139.510000,2539752.964930
20191120003000,215.826123,2647.000000,8123.210000,8124.990000,8120.860000,8139.580000,1754800.169870
20191120004500,212.515644,2901.000000,8124.940000,8093.510000,8083.730000,8128.600000,1722761.771570
20191120010000,282.148068,3660.000000,8093.510000,8069.990000,8060.000000,8094.330000,2278544.048850
20191120011500,380.226623,3995.000000,8070.690000,8078.940000,8050.210000,8084.700000,3068003.249450
20191120013000,245.651427,2849.000000,8078.810000,8097.610000,8075.250000,8099.670000,1986063.518780
20191120014500,193.936671,2477.000000,8097.620000,8094.240000,8082.910000,8106.360000,1569639.198610
20191120020000,158.406132,2361.000000,8094.240000,8114.400000,8094.240000,8120.000000,1284611.388870
20191120021500,165.923298,2024.000000,8114.380000,8110.760000,8097.680000,8114.400000,1345306.657960
20191120023000,133.377119,2032.000000,8110.760000,8114.410000,8103.480000,8118.000000,1081869.590030
20191120024500,54.569210,1782.000000,8114.230000,8096.540000,8093.870000,8118.780000,442345.441243
20191120030000,107.654099,1540.000000,8096.590000,8103.920000,8094.630000,8108.230000,872042.447674
20191120031500,173.314540,1878.000000,8103.930000,8115.730000,8103.900000,8120.000000,1405987.495010
20191120033000,160.926991,1842.000000,8115.740000,8108.710000,8100.000000,8119.770000,1304873.884730
20191120034500,103.122178,1472.000000,8108.740000,8107.160000,8097.180000,8111.290000,835773.823823
20191120040000,192.635207,1858.000000,8107.240000,8095.920000,8095.520000,8110.000000,1560991.523730
20191120041500,104.526356,1876.000000,8095.930000,8086.260000,8075.270000,8095.930000,845119.364777
20191120043000,88.365804,1046.000000,8086.260000,8092.560000,8080.180000,8095.920000,714904.230002
20191120044500,146.484949,1518.000000,8092.750000,8116.520000,8092.140000,8116.840000,1187420.870420
20191120050000,150.338272,1478.000000,8116.550000,8111.330000,8102.040000,8126.000000,1220048.113460
20191120051500,95.277396,1133.000000,8111.440000,8102.560000,8096.550000,8112.720000,772188.357188
20191120053000,78.322716,1026.000000,8102.270000,8112.230000,8101.800000,8112.240000,634927.943271
20191120054500,73.819798,1080.000000,8112.230000,8119.130000,8107.280000,8122.430000,599002.812679
20191120060000,171.826807,1621.000000,8116.080000,8127.040000,8115.660000,8130.000000,1396007.316660
20191120061500,120.220150,1702.000000,8128.010000,8131.630000,8127.040000,8144.060000,978150.878105
20191120063000,227.312952,1682.000000,8131.620000,8144.900000,8120.960000,8150.000000,1848974.446330
20191120064500,258.811532,1985.000000,8144.640000,8137.070000,8130.580000,8160.000000,2107764.204620
20191120070000,195.745950,2401.000000,8137.080000,8121.720000,8120.000000,8150.000000,1593097.164390
20191120071500,148.718653,1664.000000,8121.590000,8120.150000,8117.180000,8134.140000,1208862.298220
20191120073000,129.006796,1319.000000,8120.150000,8119.860000,8112.480000,8124.770000,1047495.409550
20191120074500,129.260475,1544.000000,8119.860000,8130.470000,8116.610000,8134.420000,1050494.019390
20191120080000,321.437042,2546.000000,8131.890000,8099.480000,8089.990000,8134.600000,2605698.928200
20191120081500,205.767231,2194.000000,8098.770000,8112.070000,8094.760000,8117.690000,1667896.944770
20191120083000,129.484097,2048.000000,8113.820000,8122.260000,8108.940000,8126.530000,1051299.865120
20191120084500,128.799444,2127.000000,8122.490000,8124.480000,8120.990000,8133.910000,1046880.800750
20191120090000,114.945206,1864.000000,8124.490000,8132.630000,8117.870000,8133.260000,933584.387194
20191120091500,298.792713,3372.000000,8132.690000,8143.470000,8132.110000,8146.290000,2432001.806030
20191120093000,230.157931,2606.000000,8143.680000,8128.300000,8126.160000,8146.320000,1873392.101880
20191120094500,247.965129,2260.000000,8128.300000,8129.310000,8122.950000,8136.190000,2015278.671950
20191120100000,405.876122,3596.000000,8129.320000,8136.790000,8129.130000,8149.180000,3303149.488120
20191120101500,739.064154,5442.000000,8136.800000,8150.780000,8131.240000,8156.810000,6018613.629030
20191120103000,277.806849,2877.000000,8150.780000,8144.570000,8139.020000,8152.890000,2263002.430590
20191120104500,105.040472,2020.000000,8144.580000,8141.300000,8137.080000,8145.040000,855142.520724
20191120110000,224.980936,2806.000000,8141.310000,8131.910000,8130.000000,8141.620000,1830260.617730
20191120111500,254.741914,2716.000000,8132.100000,8136.240000,8123.840000,8136.240000,2071301.192400
20191120113000,394.586489,3408.000000,8136.240000,8129.510000,8121.610000,8137.700000,3207204.569430
20191120114500,120.300969,1269.000000,8129.510000,8126.990000,8122.630000,8129.510000,977507.434284
